path,class,gone_syms,n_gone,lines_base,lines_premerge,lines_fork,lines_upstream,applies_3way,carries_brand,tranche
gateway/run.py,D,_COMPRESSION_PROGRESS_STATUS_RE _CRON_SHUTDOWN_DRAIN_TIMEOUT _GATEWAY_PROXY_SSE_BUFFER_MAX_CHARS _GATEWAY_RAW_TEXT_PLATFORMS _HOUSEKEEPING_SHUTDOWN_DRAIN_TIMEOUT _OWN_POLICY_OPEN_ENV _RECONNECT_BACKOFF_CAP _STALL_NOTIFY_SEND_TIMEOUT_SECONDS _STARTUP_RESTORE_DRAIN_TIMEOUT_SECS_DEFAULT _TELEGRAM_CONNECT_TIMEOUT_SECS_DEFAULT _as_thread_info _await_thread_exit _bridge_max_turns_from_config _clear_planned_restart_notification _drain_gateway_watch_events _ensure_windows_gateway_venv_imports _event_media_is_stt_input _exit_after_graceful_shutdown _gateway_compression_progress_notices_enabled _gateway_config_home,33,27942,18558,21272,30939,,yes,
hermes,PORT-AS-IS,,0,11,,11,11,yes,yes,
hermes_bootstrap.py,BRANDING,,0,239,129,239,239,,yes,
hermes_cli/__init__.py,PORT-AS-IS,,0,92,47,47,92,yes,no,
hermes_cli/_parser.py,PORT-AS-IS,,0,503,376,376,540,yes,yes,
hermes_cli/_scan_venv_blockers.py,PORT-AS-IS,,0,169,,169,300,yes,no,
hermes_cli/auth.py,D,CODEX_OAUTH_USER_AGENT _NOUS_STALE_PORTAL_HOSTS _POOL_STATUS_FIELDS _assert_nous_inference_jwt_usable _auth_file_cache_key _auth_lock_holder_for _auth_target_lock_holders _auth_target_lock_holders_guard _codex_pool_rate_limit_status _format_nous_entitlement_auth_error _mark_qwen_oauth_active _merge_disk_cooldown_state _migrate_stale_nous_portal_url _minimax_post_form _normalize_lmstudio_runtime_base_url _parse_retry_after_seconds _persist_provider_state_to_store _pool_codex_access_token _probe_single_zai_endpoint _profile_has_own_xai_oauth_state,28,9274,7474,8763,9372,,yes,
hermes_cli/auth_commands.py,PORT-AS-IS,,0,802,951,956,803,yes,yes,
hermes_cli/banner.py,D,_BANNER_SNAPSHOT_VERSION _OFFICIAL_REPO_CANONICAL _available_skills_cache _banner_data_prefetch_started _banner_snapshot_path _canonical_github_remote _compute_git_banner_state _defer_update_notice _deferred_update_notice_started _format_update_notice _git_banner_state_cache _git_stdout _is_official_ssh_remote _is_ssh_remote banner_snapshot_fingerprint compute_toolset_availability load_banner_snapshot prefetch_banner_data save_banner_snapshot,19,1170,736,736,1268,,yes,
hermes_cli/checkpoints.py,PORT-AS-IS,,0,281,717,717,281,yes,no,
hermes_cli/claw.py,PORT-AS-IS,,0,809,809,809,815,yes,yes,
hermes_cli/clipboard.py,PORT-AS-IS,,0,568,495,569,568,yes,no,
hermes_cli/codex_runtime_plugin_migration.py,PORT-AS-IS,,0,757,757,757,757,yes,yes,
hermes_cli/codex_runtime_switch.py,PORT-AS-IS,,0,279,266,279,279,yes,yes,
hermes_cli/commands.py,D,_SLACK_PRIORITY_ALIASES _TELEGRAM_MENU_PRIORITY _dedupe_sanitized_names _prioritize_telegram_menu_commands _telegram_effective_priority,5,2262,1841,1987,2349,,yes,
hermes_cli/completion.py,PORT-AS-IS,,0,319,315,319,319,yes,no,
hermes_cli/config.py,D,_DYNAMIC_TOP_LEVEL_KEYS _ENV_VAR_NAME_DENYLIST _IGNORED_MANAGED_VALUES _NIX_STORE _OPEN_DICT_TOP_LEVEL_KEYS _PLATFORM_CONTAINER_KEYS _SCHEMA_DEFINED_DICT_KEYS _SECRET_CONFIG_KEYS _backup_corrupt_config _chown_to_hermes_uid _coerce_config_version _cron_fleet_default_covers_axis _cron_model_drift_axis_for_config_key _custom_provider_entry_to_provider_config _default_value_for_key _env_line_defines_key _format_config_get_value _get_nested _install_method_project_root _is_env_config_key,34,5499,6002,7219,5975,,yes,
hermes_cli/default_soul.py,PORT-AS-IS,,0,76,11,76,76,yes,yes,
hermes_cli/doctor.py,D,_DEPRECATED_COMPRESSION_SUMMARY_KEYS _DEPRECATED_CONFIG_KEYS _DEPRECATED_ENV_VARS _SQLITE_HEADER_MAGIC _check_s6_supervision _check_version_consistency _enabled_cli_toolsets_for_doctor _format_db_size _hermes_database_paths _missing_api_key_toolsets_for_summary _read_journal_mode _read_pyproject_version _report_database_journal_modes _sqlite_upgrade_hint check_certificates collect_deprecated_config_keys collect_deprecated_env_vars managed_scope_check report_deprecated_config_and_env,19,3005,2239,2325,3151,,yes,
hermes_cli/gateway.py,D,_LAUNCHCTL_BOOTSTRAP_EIO _LAUNCHCTL_DOMAIN_UNSUPPORTED_CODES _LAUNCHD_JOB_UNLOADED_EXIT_CODES _SYSTEMD_OPTIONAL_DIRECTIVES _append_launchd_reload_log _append_node_dir_for_service _block_until_terminated _clear_launchd_unsupported_marker _dispatch_all_via_service_manager_if_s6 _dispatch_via_service_manager_if_s6 _gateway_run_command _guard_existing_gateway_process_conflict _guard_named_profile_under_multiplexer _guard_supervised_gateway_conflict _hermes_home_from_systemd_unit_file _launchctl_bootstrap _launchctl_domain_unsupported _launchctl_label_supervising_process _launchd_error_indicates_unloaded _launchd_fallback_to_detached,39,7539,5750,6044,8090,,yes,
hermes_cli/hooks.py,PORT-AS-IS,,0,440,385,440,438,yes,yes,
hermes_cli/kanban_specify.py,PORT-AS-IS,,0,264,271,264,264,yes,yes,
hermes_cli/main.py,D,_AGENT_COMMANDS _AGENT_SUBCOMMANDS _BYTECODE_FINGERPRINT_FILE _DASHBOARD_SYSTEMD_UNIT _ELECTRON_FALLBACK_MIRROR _FORCE_IPV4_EARLY _LAZY_MODEL_EXPORTS _LAZY_REFRESH_IMPORT_PROBES _LAZY_REFRESH_REPAIR_PACKAGES _MACHINE_ATTRIBUTE_USER_ENABLED _PE_MACHINE_AMD64 _PE_MACHINE_ARM64 _PE_MACHINE_I386 _PE_MACHINE_NAMES _PE_MACHINE_TO_NAME _TUI_BUILD_INPUT_DIRS _TUI_BUILD_INPUT_FILES _TUI_BUILD_INPUT_SUFFIXES _active_profile_may_override_home_fast _apply_safe_mode,156,12805,14480,15363,13983,,yes,
hermes_cli/mcp_catalog.py,PORT-AS-IS,,0,831,931,972,885,yes,no,
hermes_cli/model_normalize.py,PORT-AS-IS,,0,582,474,583,582,yes,no,
hermes_cli/model_switch.py,PORT-AS-IS,,0,3368,1837,3445,3984,yes,no,
hermes_cli/models.py,PORT-AS-IS,,0,5518,3980,5753,6687,yes,yes,
hermes_cli/plugins.py,PORT-AS-IS,,0,2866,1640,2902,6594,yes,no,
hermes_cli/profile_distribution.py,PORT-AS-IS,,0,782,702,782,782,yes,yes,
hermes_cli/profiles.py,PORT-AS-IS,,0,2262,1425,2262,2492,yes,yes,
hermes_cli/proxy/cli.py,PORT-AS-IS,,0,140,142,140,140,yes,yes,
hermes_cli/proxy/server.py,PORT-AS-IS,,0,298,308,298,298,yes,no,
hermes_cli/pty_bridge.py,PORT-AS-IS,,0,293,237,293,293,yes,no,
hermes_cli/relaunch.py,PORT-AS-IS,,0,205,207,207,205,yes,yes,
hermes_cli/runtime_provider.py,PORT-AS-IS,,0,2298,1553,2298,2359,yes,no,
hermes_cli/security_advisories.py,BRANDING,,0,453,451,453,453,,yes,
hermes_cli/send_cmd.py,PORT-AS-IS,,0,501,445,501,501,yes,yes,
hermes_cli/setup.py,D,_is_valid_telegram_bot_token _prompt_telegram_bot_token _setup_telegram_auto_result is_noninteractive,4,3645,3604,3985,3564,,yes,
hermes_cli/skin_engine.py,PORT-AS-IS,,0,1068,1054,1054,1068,yes,yes,
hermes_cli/slack_cli.py,D,SLACK_LONG_DESCRIPTION_MAX_CHARACTERS SLACK_LONG_DESCRIPTION_MIN_CHARACTERS,2,282,159,159,282,,yes,
hermes_cli/status.py,PORT-AS-IS,,0,724,570,724,724,yes,no,
hermes_cli/stdio.py,PORT-AS-IS,,0,251,252,251,251,yes,no,
hermes_cli/timeouts.py,PORT-AS-IS,,0,82,120,120,82,yes,no,
hermes_cli/tips.py,PORT-AS-IS,,0,485,487,487,512,yes,yes,
hermes_cli/uninstall.py,D,_UninstallArgs _node_symlink_candidate_dirs _perform_uninstall _print_uninstall_dry_run remove_node_symlinks run_gui_uninstall,6,979,680,680,979,,yes,
hermes_cli/web_server.py,D,DASHBOARD_HEALTH DashboardHealth ManagedFilesPolicy PTY_REGISTRY _ACTION_COMMANDS _ACTION_IDS _ACTION_LOG_TAIL_INITIAL_CHUNK_BYTES _ACTION_LOG_TAIL_MAX_BYTES _ACTION_LOG_TAIL_MAX_CHUNK_BYTES _ACTION_RESULTS _AUDIO_MIME_EXTENSIONS _AUTO_ARCHIVE_CHECK_INTERVAL_S _CHAT_IMAGE_ALLOWED_EXTENSIONS _CHAT_IMAGE_MAGIC _CHAT_IMAGE_UPLOAD_MAX_BYTES _CONSOLE_COMMAND_TIMEOUT_SECONDS _CONSOLE_EXECUTOR_MAX_WORKERS _CONSOLE_OUTPUT_LIMIT _CONSOLE_PROMPT _CREDENTIAL_PROBES,387,17951,4713,5382,19207,,yes,
hermes_logging.py,PORT-AS-IS,,0,800,389,800,800,yes,no,
hermes_time.py,PORT-AS-IS,,0,135,104,135,135,yes,no,
mcp_serve.py,PORT-AS-IS,,0,1037,897,1037,1060,yes,yes,
mini_swe_runner.py,PORT-AS-IS,,0,732,737,734,732,yes,no,
nix/checks.nix,BRANDING,,0,582,,582,1072,,yes,
nix/hermes-agent.nix,PORT-AS-IS,,0,270,,270,271,yes,yes,
nix/nixosModules.nix,BRANDING,,0,1008,,1008,666,,yes,
optional-skills/DESCRIPTION.md,BRANDING,,0,24,,24,24,,yes,
optional-skills/blockchain/hyperliquid/scripts/hyperliquid_client.py,PORT-AS-IS,,0,1660,1660,1660,1660,yes,no,
optional-skills/blockchain/solana/scripts/solana_client.py,PORT-AS-IS,,0,698,698,698,698,yes,no,
optional-skills/creative/kanban-video-orchestrator/references/kanban-setup.md,BRANDING,,0,278,,278,278,,yes,
optional-skills/creative/kanban-video-orchestrator/references/monitoring.md,BRANDING,,0,180,,180,180,,yes,
optional-skills/creative/kanban-video-orchestrator/references/tool-matrix.md,BRANDING,,0,299,,299,299,,yes,
optional-skills/creative/kanban-video-orchestrator/scripts/bootstrap_pipeline.py,PORT-AS-IS,,0,499,502,500,499,yes,no,
optional-skills/creative/meme-generation/scripts/generate_meme.py,PORT-AS-IS,,0,470,471,470,470,yes,no,
optional-skills/creative/pixel-art/scripts/palettes.py,PORT-AS-IS,,0,167,,167,167,yes,no,
optional-skills/creative/pixel-art/scripts/pixel_art.py,PORT-AS-IS,,0,162,,162,162,yes,no,
optional-skills/creative/pixel-art/scripts/pixel_art_video.py,PORT-AS-IS,,0,345,,345,345,yes,no,
optional-skills/devops/watchers/SKILL.md,PORT-AS-IS,,0,112,,112,112,yes,yes,
optional-skills/devops/watchers/scripts/watch_github.py,PORT-AS-IS,,0,169,168,169,169,yes,yes,
optional-skills/devops/watchers/scripts/watch_http_json.py,PORT-AS-IS,,0,131,131,131,131,yes,no,
optional-skills/devops/watchers/scripts/watch_rss.py,PORT-AS-IS,,0,121,121,121,121,yes,no,
optional-skills/email/agentmail/SKILL.md,BRANDING,,0,128,,128,128,,yes,
optional-skills/finance/dcf-model/scripts/validate_dcf.py,PORT-AS-IS,,0,291,292,291,291,yes,no,
optional-skills/finance/polymarket/scripts/polymarket.py,PORT-AS-IS,,0,284,,285,284,yes,no,
optional-skills/finance/stocks/scripts/stocks_client.py,PORT-AS-IS,,0,755,756,756,755,yes,no,
optional-skills/health/neuroskill-bci/references/api.md,PORT-AS-IS,,0,286,,286,286,yes,yes,
optional-skills/health/neuroskill-bci/references/metrics.md,PORT-AS-IS,,0,220,,220,220,yes,yes,
optional-skills/mcp/fastmcp/templates/api_wrapper.py,PORT-AS-IS,,0,54,54,54,54,yes,no,
optional-skills/mcp/fastmcp/templates/database_server.py,PORT-AS-IS,,0,77,77,77,77,yes,no,
optional-skills/mcp/fastmcp/templates/file_processor.py,PORT-AS-IS,,0,55,55,55,55,yes,no,
optional-skills/migration/openclaw-migration/SKILL.md,BRANDING,,0,298,,298,298,,yes,
optional-skills/migration/openclaw-migration/scripts/openclaw_to_hermes.py,PORT-AS-IS,,0,3286,3136,3286,3286,yes,no,
optional-skills/mlops/training/trl-fine-tuning/templates/basic_grpo_training.py,PORT-AS-IS,,0,228,228,228,228,yes,no,
optional-skills/productivity/memento-flashcards/scripts/youtube_quiz.py,PORT-AS-IS,,0,88,88,88,88,yes,no,
optional-skills/productivity/telephony/SKILL.md,BRANDING,,0,418,,418,418,,yes,
optional-skills/productivity/telephony/scripts/telephony.py,PORT-AS-IS,,0,1343,1343,1343,1343,yes,no,
optional-skills/research/darwinian-evolver/scripts/parrot_openrouter.py,PORT-AS-IS,,0,218,218,218,218,yes,no,
optional-skills/research/darwinian-evolver/scripts/show_snapshot.py,PORT-AS-IS,,0,92,69,242,92,yes,yes,
optional-skills/research/darwinian-evolver/templates/custom_problem_template.py,PORT-AS-IS,,0,240,240,240,240,yes,no,
optional-skills/research/domain-intel/scripts/domain_intel.py,PORT-AS-IS,,0,397,398,398,397,yes,no,
optional-skills/research/osint-investigation/scripts/_http.py,PORT-AS-IS,,0,82,82,82,82,yes,yes,
optional-skills/research/osint-investigation/scripts/fetch_wikipedia.py,PORT-AS-IS,,0,266,267,266,266,yes,no,
optional-skills/security/godmode/scripts/auto_jailbreak.py,PORT-AS-IS,,0,771,,778,771,yes,no,
optional-skills/security/godmode/scripts/godmode_race.py,PORT-AS-IS,,0,530,,530,530,yes,no,
optional-skills/security/godmode/scripts/parseltongue.py,PORT-AS-IS,,0,550,,551,550,yes,no,
optional-skills/security/oss-forensics/scripts/evidence-store.py,PORT-AS-IS,,0,313,314,314,313,yes,no,
package-lock.json,PORT-AS-IS,,0,19202,,24623,19241,yes,no,
package.json,PORT-AS-IS,,0,80,,80,75,yes,yes,
plugins/browser/browser_use/provider.py,PORT-AS-IS,,0,314,310,314,351,yes,no,
plugins/context_engine/__init__.py,PORT-AS-IS,,0,285,224,290,285,yes,no,
plugins/disk-cleanup/__init__.py,PORT-AS-IS,,0,316,316,316,316,yes,no,
plugins/disk-cleanup/disk_cleanup.py,PORT-AS-IS,,0,611,496,611,611,yes,no,
plugins/google_meet/README.md,BRANDING,,0,131,,131,131,,yes,
plugins/google_meet/SKILL.md,BRANDING,,0,148,,148,148,,yes,
plugins/google_meet/cli.py,PORT-AS-IS,,0,476,478,476,476,yes,no,
plugins/google_meet/meet_bot.py,PORT-AS-IS,,0,862,852,862,862,yes,no,
plugins/google_meet/node/client.py,PORT-AS-IS,,0,107,107,107,107,yes,no,
plugins/google_meet/node/server.py,PORT-AS-IS,,0,200,200,200,200,yes,no,
plugins/google_meet/realtime/openai_client.py,PORT-AS-IS,,0,332,332,332,332,yes,no,
plugins/google_meet/tools.py,PORT-AS-IS,,0,348,348,348,348,yes,no,
plugins/hermes-achievements/dashboard/plugin_api.py,PORT-AS-IS,,0,1061,1107,1107,1092,yes,yes,
plugins/hermes-achievements/tests/test_achievement_engine.py,PORT-AS-IS,,0,171,156,171,171,yes,no,
plugins/kanban/dashboard/plugin_api.py,PORT-AS-IS,,0,2948,2217,2948,2981,yes,no,
plugins/memory/__init__.py,PORT-AS-IS,,0,461,410,464,778,yes,no,
plugins/memory/byterover/README.md,BRANDING,,0,41,,41,41,,yes,
plugins/memory/byterover/__init__.py,PORT-AS-IS,,0,449,383,449,449,yes,no,
plugins/memory/hindsight/README.md,BRANDING,,0,147,,147,150,,yes,
plugins/memory/holographic/README.md,BRANDING,,0,36,,36,36,,yes,
plugins/memory/holographic/__init__.py,PORT-AS-IS,,0,462,453,507,462,yes,no,
plugins/memory/holographic/holographic.py,PORT-AS-IS,,0,290,203,290,290,yes,no,
plugins/memory/honcho/session.py,PORT-AS-IS,,0,1740,1255,1740,1819,yes,no,
plugins/memory/mem0/README.md,BRANDING,,0,187,,187,187,,yes,
plugins/memory/retaindb/README.md,BRANDING,,0,40,,40,40,,yes,
plugins/memory/retaindb/__init__.py,PORT-AS-IS,,0,804,767,805,860,yes,no,
plugins/memory/supermemory/README.md,BRANDING,,0,138,,138,138,,yes,
plugins/model-providers/ai-gateway/__init__.py,PORT-AS-IS,,0,43,43,43,43,yes,yes,
plugins/model-providers/anthropic/__init__.py,PORT-AS-IS,,0,54,55,57,54,yes,no,
plugins/model-providers/custom/__init__.py,PORT-AS-IS,,0,103,122,157,114,yes,no,
plugins/model-providers/deepseek/__init__.py,PORT-AS-IS,,0,102,103,105,111,yes,no,
plugins/model-providers/kimi-coding/__init__.py,PORT-AS-IS,,0,121,72,122,144,yes,no,
plugins/model-providers/nvidia/__init__.py,PORT-AS-IS,,0,21,22,22,21,yes,no,
plugins/model-providers/zai/__init__.py,PORT-AS-IS,,0,127,22,128,131,yes,no,
plugins/platforms/feishu/feishu_comment.py,PORT-AS-IS,,0,1382,,1382,1382,yes,no,
plugins/platforms/homeassistant/adapter.py,PORT-AS-IS,,0,604,,604,604,yes,yes,
plugins/platforms/irc/adapter.py,PORT-AS-IS,,0,995,969,995,995,yes,yes,
plugins/platforms/mattermost/adapter.py,PORT-AS-IS,,0,1327,,1331,1338,yes,no,
plugins/platforms/sms/adapter.py,PORT-AS-IS,,0,536,,639,536,yes,no,
plugins/platforms/telegram/telegram_network.py,PORT-AS-IS,,0,323,,323,347,yes,no,
plugins/teams_pipeline/meetings.py,PORT-AS-IS,,0,333,333,333,464,yes,no,
plugins/teams_pipeline/models.py,PORT-AS-IS,,0,350,350,350,350,yes,no,
plugins/teams_pipeline/pipeline.py,PORT-AS-IS,,0,701,691,701,784,yes,no,
plugins/teams_pipeline/runtime.py,PORT-AS-IS,,0,135,135,135,135,yes,no,
plugins/web/ddgs/provider.py,PORT-AS-IS,,0,362,104,362,362,yes,no,
plugins/web/exa/provider.py,PORT-AS-IS,,0,216,212,216,268,yes,no,
pyproject.toml,PORT-AS-IS,,0,469,,455,502,yes,yes,
scripts/check-windows-footguns.py,PORT-AS-IS,,0,814,636,818,814,yes,yes,
scripts/contributor_audit.py,PORT-AS-IS,,0,493,473,493,493,yes,yes,
scripts/discord-voice-doctor.py,PORT-AS-IS,,0,396,396,396,396,yes,no,
scripts/sample_and_compress.py,PORT-AS-IS,,0,409,409,409,409,yes,no,
setup-hermes.sh,PORT-AS-IS,,0,462,,469,462,yes,yes,
skills/autonomous-ai-agents/codex/SKILL.md,BRANDING,,0,151,,151,151,,yes,
skills/creative/ascii-video/README.md,PORT-AS-IS,,0,290,,290,290,yes,yes,
skills/creative/comfyui/scripts/_common.py,PORT-AS-IS,,0,835,835,835,835,yes,no,
skills/creative/comfyui/scripts/check_deps.py,PORT-AS-IS,,0,437,437,437,437,yes,no,
skills/creative/comfyui/scripts/hardware_check.py,PORT-AS-IS,,0,497,497,497,497,yes,no,
skills/creative/comfyui/scripts/run_batch.py,PORT-AS-IS,,0,243,244,244,243,yes,no,
